Restaurant_Name,Cusines,Ratings,Location,Delivery_review_no,Restaurant_link,Price_for_one
Rajathadri Food Fort,South Indian,4.3,Jayanagar,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,175
Warmoven Cake & Desserts,Desserts,3.7,Vasanth Nagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
La Heaven,Desserts,4.3,Frazer Town,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
Kapoor'S Cafe,North Indian,4.2,Jayanagar,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
Appu Donne Biriyani Mane- Sadashivnagar,Biryani,3.7,Malleswaram,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
Kailash Parbat,Street Food,4.1,Commercial Street,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
Onesta,Desserts,3.7,Malleswaram,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
Hotel Udupi Ruchi,Chinese,4.1,Rajajinagar,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
Donne Biryani Adda,South Indian,3.2,Indiranagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
Sri Rajarajeshwari Iyer Mess,South Indian,4.3,Malleswaram,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
Natural Ice Cream,Desserts,4.8,Malleswaram,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,75
New Alameen Restaurant,Kerala,3.9,Halasuru,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
Kwality Walls Frozen Dessert And Ice Cream Shop,Ice Cream,4.7,Wilson Garden,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
Bowl Soul,Asian,3.9,Richmond Town,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,125
K C Das,Desserts,4.4,St. Marks Road,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,75
Kaippunnyam Restaurant,Seafood,4.1,Ashok Nagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
Cakewala,Desserts,2.6,Koramangala,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
The Cake Deluxe,Desserts,4.6,Basavanagudi,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,125
Biryani By Kilo,Hyderabadi,4,Koramangala,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
Rajanna Military Hotel,Kebabs,3.9,Rajajinagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
Theobroma,Bakery,4.6,Ashok Nagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
Magnolia Bakery,Desserts,4.6,Indiranagar,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
Krishnam Veg,North Indian,4.1,Shanti Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
Pailwan Pulao,Snacks,4.2,Jayanagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,125
Thoms Bakery,Burgers,4.4,Frazer Town,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
Dindigul Thalappakatti,Barbecue,4,Magrath Road,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,325
Thalassery Cafe,Snacks,4.1,Btm Layout,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,50
Sreeraj Lassi Bar 1973S,Beverages,4.3,Race Course Road,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,125
Shyamji'S Chole Bhature,Chaat,4.1,Malleswaram,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
Thar The Taste Of Rajasthan,Sweets,4.1,Koramangala,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,50
Chichabas Taj,North Indian,4.1,Frazer Town,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,266
Bengaluru Donne Biriyani Katte,South Indian,3.2,Majestic,10,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,175
Sri Ganesh Upahara,Chinese,4.3,Vijay Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
Idc Kitchen,North Indian,4.5,Sampangirama Nagar,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,75
Sri Srinivasa Pork Hotel,Indian,2.9,Ejipura,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,75
Sri Srinivas Pork Hotel,Chinese,3.2,Ejipura,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,495
Shahi Family Restaurant,Tandoor,3.7,Ulsoor,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,149.5
Thottathil Restaurant,South Indian,3.8,Btm Layout,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
Roll 'N' Biryani,North Indian,3.8,Vijay Nagar,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,125
Udupi Aatithya,Beverages,4.2,Basavanagudi,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
Samosa Party,Snacks,4.6,Brigade Road,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,75
Ashirvaad Grand,South Indian,4.2,Tavarekere,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
Sri Nayvedya Veg,South Indian,4.4,Jayanagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,75
New Shanti Upahar,South Indian,4.4,Jayanagar,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
Priyadarshini Restaurant,Desserts,4.5,Majestic,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,75
Chandus Deluxe (Naati Style),South Indian,4.1,Malleswaram,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,125
Gundappa Donne Biryani,Biryani,3.8,Sheshadripuram,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
Basaveshwar Khanavali,Indian,4.3,Malleswaram,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
Fiero! Pizzeria,Italian,4,Koramangala,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
Soul Rasa,Healthy Food,4.4,Shanti Nagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
Oru Vadakkan Cafe,Biryani,4.1,Koramangala,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
